model,target,feature_set,r2,rmse,mae,pearson_r
xgboost,valence,40 features (original),0.7546080536600553,0.0805168312818465,0.0582635825238581,0.8757948380550561
lightgbm,valence,40 features (original),0.6402016518924917,0.0974958443827101,0.0708280487091097,0.8034475933014129
random_forest,valence,40 features (original),0.6150220503330585,0.1008496626900468,0.0723901685133191,0.8209372277903261
xgboost,valence,30 features (reduced),0.7594335800020217,0.0797212362973633,0.056116545536421585,0.8831153334775418
lightgbm,valence,30 features (reduced),0.6476636632571997,0.09647954345498785,0.07155541504037433,0.8072249501489573
random_forest,valence,30 features (reduced),0.6289578432771185,0.09900751271481249,0.07121837884612472,0.8293937259889339
xgboost,arousal,40 features (original),0.7726015761425263,0.0625510240330578,0.0428296108637247,0.8872989723447824
lightgbm,arousal,40 features (original),0.7889621375937458,0.0602588568464689,0.0428771364748802,0.89627159808415
random_forest,arousal,40 features (original),0.6539864769634891,0.0771591145328968,0.0536327258062097,0.8809823726595118
xgboost,arousal,30 features (reduced),0.804571185415478,0.057987581746902675,0.04119761979045433,0.9057891163633761
lightgbm,arousal,30 features (reduced),0.7580798109007232,0.06451738487712597,0.043495659463524405,0.8769260720660828
random_forest,arousal,30 features (reduced),0.6603569585949277,0.07644552357861026,0.053098343721180316,0.8818271578926905
