feature,importance_mean,importance_std,rank
sky_visibility,0.044396028079847924,0.035900733470819596,1
green_coverage,0.02477796257656569,0.009905520955544849,2
sidewalk_coverage,0.022859997736451105,0.022661114629067385,3
openness_index,0.01111638011355043,0.0066868752349463914,4
min_ttc,0.010205930433245886,0.010986873332732938,5
traffic_sign_count,0.010084137939946067,0.006762317071847013,6
car_accel_mean,0.010078985118754602,0.005355190875868429,7
drivable_width_mean,0.009875309930182544,0.007943625223068887,8
total_object_count,0.0086335390562656,0.006585085287323763,9
dynamic_object_area_ratio,0.007517833323055353,0.005453406446391448,10
car_jerk_mean,0.007036585643219353,0.006077293751446333,11
road_coverage,0.006494679272750274,0.006220299498358922,12
car_speed_mean,0.0062443457354590904,0.0044477380317092426,13
enclosure_crowding_stress,0.0051541504847942045,0.002901188341096372,14
building_oppression,0.005147310507541098,0.007343841517996254,15
wall_fence_coverage,0.004783783236626428,0.003385947090370908,16
building_coverage,0.00466056109408259,0.003969151197377307,17
drivable_coverage,0.003867883030582843,0.0032114414390567976,18
semantic_monotony_fatigue,0.0034067611042632663,0.002668718913614121,19
car_count,0.003256845107347892,0.0027266932815470496,20
exposed_vru_conflict_index,0.003202210830082481,0.003913217110457403,21
person_count,0.0026981991284386582,0.002578655654580179,22
drivable_occupancy_ratio,0.0019244360413373416,0.0012657165724135704,23
interaction_risk_integral_itcc,0.001593281890996424,0.0013234586879752902,24
vru_drivable_intrusion_rate,0.0013405204994036775,0.0010093854443268227,25
road_curvature_mean,0.0010719935632284398,0.00130733495424286,26
risk_count,0.0008455517606504488,0.0011647726885486208,27
green_buffer_under_congestion,0.0004988853918157147,0.00033837521905009493,28
pedestrian_crossing_count,0.0,0.0,29
lane_offset,0.0,0.0,30
