Participant_id,Valence2,Arousal2,Valence3,Arousal3,Valence4,Arousal4,Valence5,Arousal5
26,-0.25,0.125,-0.5,0.25,-0.5,0.625,-0.5,0.75
27,0.25,0.5,-0.25,0.625,0,0.625,-0.5,0.75
28,0.25,0,-1,0,-1,0.875,-1,1
29,-0.75,0.875,-0.75,0.875,-0.5,0.75,-0.75,1
30,0,0.5,-0.25,0.625,-0.25,0.75,-1,0.875
31,-0.25,0.75,0.25,0.75,-0.75,0.75,-1,0.875
32,-0.25,0.625,-0.5,0.75,-0.25,0.625,-0.5,0.75
33,1,0,0.5,0.25,1,0,-0.25,1
34,-0.5,0.375,-0.25,0.375,-0.75,0.625,-0.5,0.875
35,0.75,0.125,0.75,0.125,0.75,0.125,-0.75,0.625
36,-0.5,0.75,-0.25,0.375,-0.25,0.625,-0.75,0.875
37,0.25,0.625,-0.75,0.75,-0.5,0.25,-1,1
38,0,0.25,-0.5,0,-0.5,0.75,-1,0.875
39,-0.25,0.375,-0.5,0.25,-0.75,0.25,-0.75,1
40,0.5,0.375,0.25,0.375,-0.5,0.25,-1,0.625
